Gene_designations	OLN	Swiss-Prot-AC	Entry	SGD_X_ref
GYP8	YFL027C	P43570	GYP8_YEAST	S000001867
GZF3	YJL110C	P42944	GZF3_YEAST	S000003646
HAA1	YPR008W	Q12753	HAA1_YEAST	S000006212
HAC1;ERN4;IRE15;IRE2	YFL031W	P41546	HAC1_YEAST	S000001863
HAL1	YPR005C	Q01766	HAL1_YEAST	S000006209
HAL5	YJL165C	P38970	HAL5_YEAST	S000003701
HAL9	YOL089C	Q12180	HAL9_YEAST	S000005449
HAM1	YJR069C	P47119	ITPA_YEAST	S000003830
HAP1;CYP1	YLR256W	P0CE41	HAP1_YEAST	S000004246
HAP2	YGL237C	P06774	HAP2_YEAST	S000003206
HAP3	YBL021C	P13434	HAP3_YEAST	S000000117
HAP4	YKL109W	P14064	HAP4_YEAST	S000001592
HAP5	YOR358W	Q02516	HAP5_YEAST	S000005885
HAS1	YMR290C	Q03532	HAS1_YEAST	S000004903
HAT1	YPL001W	Q12341	HAT1_YEAST	S000005922
HAT2	YEL056W	P39984	HAT2_YEAST	S000000782
HBN1	YCL026C-B	Q96VH4	HBN1_YEAST	S000007548
HBS1	YKR084C	P32769	HBS1_YEAST	S000001792
HBT1;Crem	YDL223C	Q07653	HBT1_YEAST	S000002382
HCA4;DBP4;ECM24	YJL033W	P20448	DBP4_YEAST	S000003570
HCH1	YNL281W	P53834	HCH1_YEAST	S000005225
HCM1	YCR065W	P25364	HCM1_YEAST	S000000661
HCR1	YLR192C	Q05775	EIF3J_YEAST	S000004182
HCS1;DIP1	YKL017C	P34243	HCS1_YEAST	S000001500
HDA1	YNL021W	P53973	HDA1_YEAST	S000004966
HDA2;PLO2	YDR295C	Q06629	HDA2_YEAST	S000002703
HDA3;PLO1	YPR179C	Q06623	HDA3_YEAST	S000006383
HED1	YDR014W-A	Q03937	HED1_YEAST	S000113613
HEF3;YEF3B;ZRG7	YNL014W	P53978	EF3B_YEAST	S000004959
HEH2	YDR458C	Q03281	HEH2_YEAST	S000002866
HEK2;KHD1	YBL032W	P38199	HEK2_YEAST	S000000128
HEL1	YKR017C	P36113	HEL1_YEAST	S000001725
HEL2	YDR266C	Q05580	HEL2_YEAST	S000002674
HEM12;HEM6;POP3	YDR047W	P32347	DCUP_YEAST	S000002454
HEM13	YDR044W	P11353	HEM6_YEAST	S000002451
HEM14	YER014W	P40012	PPOX_YEAST	S000000816
HEM15	YOR176W	P16622	HEMH_YEAST	S000005702
HEM1;CYD1	YDR232W	P09950	HEM1_YEAST	S000002640
HEM2	YGL040C	P05373	HEM2_YEAST	S000003008
HEM25	YDL119C	Q07534	S2538_YEAST	S000002277
HEM3	YDL205C	P28789	HEM3_YEAST	S000002364
HEM4;ORF1	YOR278W	P06174	HEM4_YEAST	S000005804
HER1	YOR227W	Q12276	HER1_YEAST	S000005753
HER2;GEP6;LRC6	YMR293C	Q03557	GATA_YEAST	S000004907
HES1;OSH5	YOR237W	P35843	HES1_YEAST	S000005763
HFA1	YMR207C	P32874	HFA1_YEAST	S000004820
HFD1	YMR110C	Q04458	HFD1_YEAST	S000004716
HFI1;ADA1;SUP110	YPL254W	Q12060	HFI1_YEAST	S000006175
HFM1;MER3	YGL251C	P51979	HFM1_YEAST	S000003220
HGH1	YGR187C	P48362	HGH1_YEAST	S000003419
HHF1	YBR009C	P02309	H4_YEAST	S000000213
HHF2	YNL030W	P02309	H4_YEAST	S000004975
HHO1	YPL127C	P53551	H1_YEAST	S000006048
HHT1	YBR010W	P61830	H3_YEAST	S000000214
HHT2;SIN2	YNL031C	P61830	H3_YEAST	S000004976
HHY1	YEL059W	P39982	HHY1_YEAST	S000000785
HIF1	YLL022C	Q12373	HIF1_YEAST	S000003945
HIM1	YDR317W	Q06674	HIM1_YEAST	S000002725
HIP1	YGR191W	P06775	HIP1_YEAST	S000003423
HIR1	YBL008W	P32479	HIR1_YEAST	S000000104
HIR2	YOR038C	P32480	HIR2_YEAST	S000005564
HIR3;HPC1	YJR140C	P47171	HIR3_YEAST	S000003901
HIS1	YER055C	P00498	HIS1_YEAST	S000000857
HIS2	YFR025C	P38635	HIS9_YEAST	S000001921
HIS3	YOR202W	P06633	HIS7_YEAST	S000005728
HIS4	YCL030C	P00815	HIS2_YEAST	S000000535
HIS5	YIL116W	P07172	HIS8_YEAST	S000001378
HIS6	YIL020C	P40545	HIS4_YEAST	S000001282
HIS7	YBR248C	P33734	HIS5_YEAST	S000000452
HIT1	YJR055W	P46973	HIT1_YEAST	S000003816
HKR1	YDR420W	P41809	HKR1_YEAST	S000002828
HLJ1	YMR161W	P48353	HLJ1_YEAST	S000004771
HLR1	YDR528W	Q04429	HLR1_YEAST	S000002936
HMF1;HIG1	YER057C	P40037	HMF1_YEAST	S000000859
HMG1	YML075C	P12683	HMDH1_YEAST	S000004540
HMG2	YLR450W	P12684	HMDH2_YEAST	S000004442
HMI1	YOL095C	Q12039	HMI1_YEAST	S000005455
HMLALPHA1	YCL066W	P0CY07	HMAL1_YEAST	S000000571
HMLALPHA2	YCL067C	P0CY09	HMAL2_YEAST	S000000572
HMO1;HSM2	YDR174W	Q03973	HMO1_YEAST	S000002581
HMRA1	YCR097W	P0CY11	HMRA1_YEAST	S000000694
HMRA2	YCR096C	P0CY13	HMRA2_YEAST	S000000692
HMS1	YOR032C	Q12398	HMS1_YEAST	S000005558
HMS2	YJR147W	P47175	HMS2_YEAST	S000003908
HMT1;ODP1;RMT1	YBR034C	P38074	HMT1_YEAST	S000000238
HMX1	YLR205C	P32339	HMX1_YEAST	S000004195
HNM1;CTR;CTR1	YGL077C	P19807	HNM1_YEAST	S000003045
HNT1;HIT1	YDL125C	Q04344	HNT1_YEAST	S000002283
HNT2;APH1	YDR305C	P49775	HNT2_YEAST	S000002713
HNT3	YOR258W	Q08702	APTX_YEAST	S000005784
HO	YDL227C	P09932	HO_YEAST	S000002386
HOC1	YJR075W	P47124	HOC1_YEAST	S000003836
HOF1;CYK2	YMR032W	Q05080	CYK2_YEAST	S000004635
HOG1;SSK3	YLR113W	P32485	HOG1_YEAST	S000004103
HOL1	YNR055C	P53389	HOL1_YEAST	S000005338
HOM2	YDR158W	P13663	DHAS_YEAST	S000002565
HOM3	YER052C	P10869	AK_YEAST	S000000854
HOM6	YJR139C	P31116	DHOM_YEAST	S000003900
HOP1	YIL072W	P20050	HOP1_YEAST	S000001334
HOP2	YGL033W	P53187	HOP2_YEAST	S000003001
HOR7	YMR251W-A	Q05827	HOR7_YEAST	S000004864
HOS1	YPR068C	Q12214	HOS1_YEAST	S000006272
HOS2	YGL194C	P53096	HOS2_YEAST	S000003162
HOS3	YPL116W	Q02959	HOS3_YEAST	S000006037
HOS4	YIL112W	P40480	HOS4_YEAST	S000001374
HOT1	YMR172W	Q03213	HOT1_YEAST	S000004783
HOT13	YKL084W	P36078	HOT13_YEAST	S000001567
HPA2	YPR193C	Q06592	HPA2_YEAST	S000006397
HPA3	YEL066W	P39979	HPA3_YEAST	S000000792
HPC2	YBR215W	Q01448	HPC2_YEAST	S000000419
HPF1	YOL155C	Q05164	HPF1_YEAST	S000005515
HPM1;MNI1	YIL110W	P40481	HPM1_YEAST	S000001372
HPR1	YDR138W	P17629	HPR1_YEAST	S000002545
HPT1;BRA6	YDR399W	Q04178	HPRT_YEAST	S000002807
HRB1;TOM34	YNL004W	P38922	HRB1_YEAST	S000004949
HRD1;DER3	YOL013C	Q08109	HRD1_YEAST	S000005373
HRD3	YLR207W	Q05787	HRD3_YEAST	S000004197
HRI1	YLR301W	Q05905	HRI1_YEAST	S000004292
HRK1	YOR267C	Q08732	HRK1_YEAST	S000005793
HRP1;NAB4;NAB5	YOL123W	Q99383	HRP1_YEAST	S000005483
HRQ1	YDR291W	Q05549	HRQ1_YEAST	S000002699
HRR25	YPL204W	P29295	HRR25_YEAST	S000006125
HRT1;RBX1;ROC1	YOL133W	Q08273	RBX1_YEAST	S000005493
HRT3	YLR097C	Q12347	HRT3_YEAST	S000004087
HSC82	YMR186W	P15108	HSC82_YEAST	S000004798
HSE1	YHL002W	P38753	HSE1_YEAST	S000000994
HSF1	YGL073W	P10961	HSF_YEAST	S000003041
HSH155	YMR288W	P49955	SF3B1_YEAST	S000004901
HSH49	YOR319W	Q99181	HSH49_YEAST	S000005846
HSK3	YKL138C-A	P69852	HSK3_YEAST	S000028421
HSL1	YKL101W	P34244	HSL1_YEAST	S000001584
HSL7	YBR133C	P38274	HSL7_YEAST	S000000337
HSM3	YBR272C	P38348	HSM3_YEAST	S000000476
HSP104	YLL026W	P31539	HS104_YEAST	S000003949
HSP10;CPN10	YOR020C	P38910	CH10_YEAST	S000005546
HSP12;GLP1;HOR5	YFL014W	P22943	HSP12_YEAST	S000001880
HSP150;CCW7;ORE1;PIR2	YJL159W	P32478	HS150_YEAST	S000003695
HSP26	YBR072W	P15992	HSP26_YEAST	S000000276
HSP30	YCR021C	P25619	HSP30_YEAST	S000000615
HSP31	YDR533C	Q04432	HSP31_YEAST	S000002941
HSP32	YPL280W	Q08992	HSP32_YEAST	S000006201
HSP33	YOR391C	Q08914	HSP33_YEAST	S000005918
HSP42	YDR171W	Q12329	HSP42_YEAST	S000002578
HSP60;MIF4	YLR259C	P19882	HSP60_YEAST	S000004249
HSP78	YDR258C	P33416	HSP78_YEAST	S000002666
HSP82;HSP90	YPL240C	P02829	HSP82_YEAST	S000006161
HST1	YOL068C	P53685	HST1_YEAST	S000005429
HST2	YPL015C	P53686	HST2_YEAST	S000005936
HST3	YOR025W	P53687	HST3_YEAST	S000005551
HST4	YDR191W	P53688	HST4_YEAST	S000002599
HSV2	YGR223C	P50079	HSV2_YEAST	S000003455
HTA1;H2A1;SPT11	YDR225W	P04911	H2A1_YEAST	S000002633
HTA2;H2A2	YBL003C	P04912	H2A2_YEAST	S000000099
HTB1;H2B1;SPT12	YDR224C	P02293	H2B1_YEAST	S000002632
HTB2;H2B2	YBL002W	P02294	H2B2_YEAST	S000000098
HTD2;RMD12	YHR067W	P38790	HTD2_YEAST	S000001109
HTL1;DRT1	YCR020W-B	Q9URQ5	HTL1_YEAST	S000006439
HTS1	YPR033C	P07263	SYH_YEAST	S000006237
HTZ1;H2AZ;HTA3	YOL012C	Q12692	H2AZ_YEAST	S000005372
HUA1	YGR268C	P40325	HUA1_YEAST	S000003500
HUA2	YOR284W	Q12134	HUA2_YEAST	S000005810
HUB1	YNR032C-A	Q6Q546	HUB1_YEAST	S000007251
HUG1	YML058W-A	Q6Q5K6	HUG1_YEAST	S000007472
HUL4	YJR036C	P40985	HUL4_YEAST	S000003797
HUL5	YGL141W	P53119	HUL5_YEAST	S000003109
HUR1	YGL168W	P45820	HUR1_YEAST	S000003136
HUT1;MLF6	YPL244C	Q12520	HUT1_YEAST	S000006165
HVG1;YEM9	YER039C	P0CE11	GMT2_YEAST	S000000841
HXK1;HKA	YFR053C	P04806	HXKA_YEAST	S000001949
HXK2;HEX1;HKB	YGL253W	P04807	HXKB_YEAST	S000003222
HXT10	YFL011W	P43581	HXT10_YEAST	S000001883
HXT11;LGT3	YOL156W	P54862	HXT11_YEAST	S000005516
HXT12	YIL170W	P40441	HXT12_YEAST	S000001432
HXT13;HXT8	YEL069C	P39924	HXT13_YEAST	S000000795
HXT14;HXT9	YNL318C	P42833	HXT14_YEAST	S000005262
HXT15	YDL245C	P54854	HXT15_YEAST	S000002404
HXT16	YJR158W	P47185	HXT16_YEAST	S000003919
HXT17	YNR072W	P53631	HXT17_YEAST	S000005355
HXT1;HOR4	YHR094C	P32465	HXT1_YEAST	S000001136
HXT2	YMR011W	P23585	HXT2_YEAST	S000004613
HXT3	YDR345C	P32466	HXT3_YEAST	S000002753
HXT4;LGT1;RAG1	YHR092C	P32467	HXT4_YEAST	S000001134
HXT5	YHR096C	P38695	HXT5_YEAST	S000001138
HXT6	YDR343C	P39003	HXT6_YEAST	S000002751
HXT7	YDR342C	P39004	HXT7_YEAST	S000002750
HXT8	YJL214W	P40886	HXT8_YEAST	S000003750
HXT9	YJL219W	P40885	HXT9_YEAST	S000003755
HYM1	YKL189W	P32464	HYM1_YEAST	S000001672
HYP2;TIF51A	YEL034W	P23301	IF5A1_YEAST	S000000760
HYR1;GPX3;ORP1	YIR037W	P40581	GPX3_YEAST	S000001476
IAH1;EST2	YOR126C	P41734	IAH1_YEAST	S000005652
IBA57;CAF17	YJR122W	P47158	CAF17_YEAST	S000003883
IBD2	YNL164C	P53892	IBD2_YEAST	S000005108
ICE2	YIL090W	P40499	ICE2_YEAST	S000001352
ICL1	YER065C	P28240	ACEA_YEAST	S000000867
ICL2	YPR006C	Q12031	ACEB_YEAST	S000006210
ICP55	YER078C	P40051	ICP55_YEAST	S000000880
ICS2	YBR157C	P38284	ICS2_YEAST	S000000361
ICS3	YJL077C	P47034	ICS3_YEAST	S000003613
ICT1	YLR099C	Q12385	ICT1_YEAST	S000004089
ICY1	YMR195W	Q04329	ICY1_YEAST	S000004808
IDH1	YNL037C	P28834	IDH1_YEAST	S000004982
IDH2	YOR136W	P28241	IDH2_YEAST	S000005662
IDI1;BOT2	YPL117C	P15496	IDI1_YEAST	S000006038
IDP1	YDL066W	P21954	IDHP_YEAST	S000002224
IDP2	YLR174W	P41939	IDHC_YEAST	S000004164
IDP3	YNL009W	P53982	IDHH_YEAST	S000004954
IDS2	YJL146W	P46958	IDS2_YEAST	S000003682
IES1	YFL013C	P43579	IES1_YEAST	S000001881
IES2	YNL215W	P40154	IES2_YEAST	S000005159
IES3	YLR052W	Q12345	IES3_YEAST	S000004042
IES4	YOR189W	Q08561	IES4_YEAST	S000005715
IES5	YER092W	P40060	IES5_YEAST	S000000894
IES6	YEL044W	P32617	IES6_YEAST	S000000770
IFA38	YBR159W	P38286	MKAR_YEAST	S000000363
IFH1;RRP3	YLR223C	P39520	IFH1_YEAST	S000004213
IFM1	YOL023W	P25038	IF2M_YEAST	S000005383
IGD1	YFR017C	P43598	IGD1_YEAST	S000001913
IGO1	YNL157W	P53897	IGO1_YEAST	S000005101
IGO2	YHR132W-A	Q9P305	IGO2_YEAST	S000007496
IKI1;ELP5;HAP2;TOT5	YHR187W	P38874	ELP5_YEAST	S000001230
IKI3;ELP1;TOT1	YLR384C	Q06706	ELP1_YEAST	S000004376
IKS1	YJL057C	P47042	IKS1_YEAST	S000003593
ILM1	YJR118C	P47155	ILM1_YEAST	S000003879
ILS1	YBL076C	P09436	SYIC_YEAST	S000000172
ILV1	YER086W	P00927	THDH_YEAST	S000000888
ILV2;SMR1	YMR108W	P07342	ILVB_YEAST	S000004714
ILV3	YJR016C	P39522	ILV3_YEAST	S000003777
ILV5	YLR355C	P06168	ILV5_YEAST	S000004347
ILV6	YCL009C	P25605	ILV6_YEAST	S000000515
IMA1	YGR287C	P53051	MALX3_YEAST	S000003519
IMA2	YOL157C	Q08295	IMA2_YEAST	S000005517
IMA3	YIL172C	P0CW40	MALX2_YEAST	S000001434
IMA4;FSP2	YJL221C	P0CW41	MALX4_YEAST	S000003757
IMA5	YJL216C	P40884	IMA5_YEAST	S000003752
IMD1	YAR073W	P39567	IMDH1_YEAST	S000000095
IMD2;PUR5	YHR216W	P38697	IMDH2_YEAST	S000001259
IMD3	YLR432W	P50095	IMDH3_YEAST	S000004424
IMD4	YML056C	P50094	IMDH4_YEAST	S000004520
IME1	YJR094C	P21190	IME1_YEAST	S000003854
IME2;SME1	YJL106W	P32581	IME2_YEAST	S000003642
IME4;SPO8	YGL192W	P41833	IME4_YEAST	S000003160
IMG1;PETCR46	YCR046C	P25626	IMG1_YEAST	S000000642
IMG2	YCR071C	P25642	IMG2_YEAST	S000000667
IMH1;SYS3	YLR309C	Q06704	IMH1_YEAST	S000004300
IML1;SEA1	YJR138W	P47170	IML1_YEAST	S000003899
IML2	YJL082W	P47031	IML2_YEAST	S000003618
IML3;MCM19	YBR107C	P38265	CENPL_YEAST	S000000311
IMO32	YGR031W	P53219	IMO32_YEAST	S000003263
IMP1;PET2858	YMR150C	P28627	IMP1_YEAST	S000004758
IMP2	YMR035W	P46972	IMP2_YEAST	S000004638
IMP2';IMP2	YIL154C	P32351	IMPX_YEAST	S000001416
IMP3	YHR148W	P32899	IMP3_YEAST	S000001191
IMP4	YNL075W	P53941	IMP4_YEAST	S000005019
INA17;AIM43;FMP14	YPL099C	Q02888	INA17_YEAST	S000006020
INA22	YIR024C	P40576	INA22_YEAST	S000001463
INH1	YDL181W	P01097	ATIF_YEAST	S000002340
INM1;IMP1	YHR046C	P38710	INM1_YEAST	S000001088
INM2;IMP2	YDR287W	Q05533	INM2_YEAST	S000002695
INN1	YNL152W	P53901	INN1_YEAST	S000005096
INO1	YJL153C	P11986	INO1_YEAST	S000003689
INO2;DIE1;SCS1	YDR123C	P26798	INO2_YEAST	S000002530
INO4	YOL108C	P13902	INO4_YEAST	S000005468
INO80	YGL150C	P53115	INO80_YEAST	S000003118
INP1	YMR204C	Q03694	INP1_YEAST	S000004817
INP2	YMR163C	Q03824	INP2_YEAST	S000004773
INP51;SJL1	YIL002C	P40559	INP51_YEAST	S000001264
INP52;SJL2	YNL106C	P50942	INP52_YEAST	S000005050
INP53;SJL3;SOP2	YOR109W	Q12271	INP53_YEAST	S000005635
INP54	YOL065C	Q08227	INP54_YEAST	S000005426
IOC2	YLR095C	Q12072	IOC2_YEAST	S000004085
IOC3	YFR013W	P43596	IOC3_YEAST	S000001909
IOC4	YMR044W	Q04213	IOC4_YEAST	S000004647
IPI1	YHR085W	P38803	IPI1_YEAST	S000001127
IPI3	YNL182C	P53877	IPI3_YEAST	S000005126
IPK1;GSL1	YDR315C	Q06667	IPK1_YEAST	S000002723
IPL1	YPL209C	P38991	IPL1_YEAST	S000006130
IPP1;PPA;PPA1	YBR011C	P00817	IPYR_YEAST	S000000215
IPT1;SYR4	YDR072C	P38954	IPT1_YEAST	S000002479
IQG1;CYK1	YPL242C	Q12280	IQG1_YEAST	S000006163
IRA1;GLC1;PPD1	YBR140C	P18963	IRA1_YEAST	S000000344
IRA2;CCS1;GLC4	YOL081W	P19158	IRA2_YEAST	S000005441
IRC10	YOL015W	Q08118	IRC10_YEAST	S000005375
IRC11	YOR013W	Q12479	IRC11_YEAST	S000005539
IRC13	YOR235W	Q08630	IRC13_YEAST	S000005761
IRC14	YOR135C	Q08522	IRC14_YEAST	S000005661
IRC15	YPL017C	Q02733	IRC15_YEAST	S000005938
IRC16	YPR038W	Q6B0V8	IRC16_YEAST	S000006242
IRC18;OSW6	YJL037W	P47056	IRC18_YEAST	S000003574
IRC19;RRG4	YLL033W	Q07843	IRC19_YEAST	S000003956
IRC2	YDR112W	A0A023PXB5	IRC2_YEAST	S000002519
IRC20	YLR247C	Q06554	IRC20_YEAST	S000004237
IRC21	YMR073C	Q04772	IRC21_YEAST	S000004677
IRC22	YEL001C	P40006	IRC22_YEAST	S000000727
IRC23	YOR044W	Q08416	IRC23_YEAST	S000005570
IRC24	YIR036C	P40580	BZRD_YEAST	S000001475
IRC25;DMP2;POC3	YLR021W	Q07951	POC3_YEAST	S000004011
IRC3	YDR332W	Q06683	IRC3_YEAST	S000002740
IRC4	YDR540C	Q03036	IRC4_YEAST	S000002948
IRC5	YFR038W	P43610	IRC5_YEAST	S000001934
IRC6	YFR043C	P43615	IRC6_YEAST	S000001939
IRC7	YFR055W	P43623	METC_YEAST	S000001952
IRC8	YJL051W	P47046	IRC8_YEAST	S000003587
IRC9	YJL142C	P47010	IRC9_YEAST	S000003678
IRE1;ERN1	YHR079C	P32361	IRE1_YEAST	S000001121
IRR1;SCC3	YIL026C	P40541	SCC3_YEAST	S000001288
IRS4	YKR019C	P36115	IRS4_YEAST	S000001727
ISA1	YLL027W	Q07821	ISA1_YEAST	S000003950
ISA2	YPR067W	Q12425	ISA2_YEAST	S000006271
ISC1	YER019W	P40015	ISC1_YEAST	S000000821
ISC10	YER180C	P32645	ISC10_YEAST	S000000982
ISD11	YER048W-A	Q6Q560	ISD11_YEAST	S000007237
ISF1;MBR3	YMR081C	P32488	ISF1_YEAST	S000004686
ISM1	YPL040C	P48526	SYIM_YEAST	S000005961
ISN1	YOR155C	Q99312	ISN1_YEAST	S000005681
ISR1	YPR106W	Q06098	ISR1_YEAST	S000006310
IST1	YNL265C	P53843	IST1_YEAST	S000005209
IST2	YBR086C	P38250	IST2_YEAST	S000000290
IST3;SNU17	YIR005W	P40565	IST3_YEAST	S000001444
ISU1;NUA1	YPL135W	Q03020	ISU1_YEAST	S000006056
ISU2;NUA2	YOR226C	Q12056	ISU2_YEAST	S000005752
ISW1	YBR245C	P38144	ISW1_YEAST	S000000449
ISW2	YOR304W	Q08773	ISW2_YEAST	S000005831
ISY1;NTC30;UTR3	YJR050W	P21374	ISY1_YEAST	S000003811
ITC1	YGL133W	P53125	ITC1_YEAST	S000003101
ITR1	YDR497C	P30605	ITR1_YEAST	S000002905
ITR2	YOL103W	P30606	ITR2_YEAST	S000005463
ITT1	YML068W	Q04638	ITT1_YEAST	S000004533
IVY1	YDR229W	Q04934	IVY1_YEAST	S000002637
IWR1	YDL115C	Q07532	IWR1_YEAST	S000002273
IXR1;ORD1	YKL032C	P33417	IXR1_YEAST	S000001515
IZH1	YDR492W	Q03419	IZH1_YEAST	S000002900
IZH2;PHO36	YOL002C	Q12442	IZH2_YEAST	S000005362
IZH3	YLR023C	Q07959	IZH3_YEAST	S000004013
IZH4	YOL101C	Q99393	IZH4_YEAST	S000005461
JAC1;SEO2	YGL018C	P53193	JAC1_YEAST	S000002986
JEM1;KAR8	YJL073W	P40358	JEM1_YEAST	S000003609
JEN1	YKL217W	P36035	JEN1_YEAST	S000001700
JHD1	YER051W	P40034	JHD1_YEAST	S000000853
JHD2	YJR119C	P47156	JHD2_YEAST	S000003880
JID1	YPR061C	Q12350	JID1_YEAST	S000006265
JIP3	YLR331C	O13555	JIP3_YEAST	S000004323
JIP4	YDR475C	Q03361	JIP4_YEAST	S000002883
JIP5	YPR169W	Q06214	JIP5_YEAST	S000006373
JJJ1	YNL227C	P53863	JJJ1_YEAST	S000005171
JJJ2	YJL162C	P46997	JJJ2_YEAST	S000003698
JJJ3;DPH4	YJR097W	P47138	DPH4_YEAST	S000003858
JLP1	YLL057C	Q12358	JLP1_YEAST	S000003980
JLP2	YMR132C	P40206	JLP2_YEAST	S000004739
JNM1;INS1	YMR294W	P36224	JNM1_YEAST	S000004908
JSN1;PUF1	YJR091C	P47135	JSN1_YEAST	S000003851
KAE1	YKR038C	P36132	KAE1_YEAST	S000001746
KAP104	YBR017C	P38217	IMB2_YEAST	S000000221
KAP114	YGL241W	P53067	IMB5_YEAST	S000003210
KAP120	YPL125W	Q02932	KA120_YEAST	S000006046
KAP122;PDR6	YGL016W	P32767	KA122_YEAST	S000002984
KAP123;YRB4	YER110C	P40069	IMB4_YEAST	S000000912
KAP95	YLR347C	Q06142	IMB1_YEAST	S000004339
KAR1	YNL188W	P11927	KAR1_YEAST	S000005132
KAR2;GRP78;SSD1	YJL034W	P16474	BIP_YEAST	S000003571
KAR3	YPR141C	P17119	KAR3_YEAST	S000006345
KAR4	YCL055W	P25583	KAR4_YEAST	S000000560
KAR5;FIG3	YMR065W	Q04746	KAR5_YEAST	S000004669
KAR9	YPL269W	P32526	KAR9_YEAST	S000006190
KCC4	YCL024W	P25389	KCC4_YEAST	S000000529
KCS1	YDR017C	Q12494	KCS1_YEAST	S000002424
KDX1;MLP1	YKL161C	P36005	KDX1_YEAST	S000001644
KEG1	YFR042W	P43614	KEG1_YEAST	S000001938
KEI1	YDR367W	Q06346	KEI1_YEAST	S000002775
KEL1	YHR158C	P38853	KEL1_YEAST	S000001201
KEL2	YGR238C	P50090	KEL2_YEAST	S000003470
KEL3	YPL263C	Q08979	KEL3_YEAST	S000006184
KES1;OSH4	YPL145C	P35844	KES1_YEAST	S000006066
KEX1	YGL203C	P09620	KEX1_YEAST	S000003171
KEX2;QDS1	YNL238W	P13134	KEX2_YEAST	S000005182
KGD1;OGD1	YIL125W	P20967	ODO1_YEAST	S000001387
KGD2	YDR148C	P19262	ODO2_YEAST	S000002555
KHA1	YJL094C	P40309	KHA1_YEAST	S000003630
KIC1;NRK1	YHR102W	P38692	KIC1_YEAST	S000001144
KIN1	YDR122W	P13185	KIN1_YEAST	S000002529
KIN2	YLR096W	P13186	KIN2_YEAST	S000004086
KIN28	YDL108W	P06242	KIN28_YEAST	S000002266
KIN3;NPK1	YAR018C	P22209	KIN3_YEAST	S000000071
KIN4;KIN3;KIN31	YOR233W	Q01919	KIN4_YEAST	S000005759
KIN82;FPK2	YCR091W	P25341	KIN82_YEAST	S000000687
KIP1;CIN9	YBL063W	P28742	KIP1_YEAST	S000000159
KIP2	YPL155C	P28743	KIP2_YEAST	S000006076
KIP3	YGL216W	P53086	KIP3_YEAST	S000003184
KKQ8	YKL168C	P36004	KKQ8_YEAST	S000001651
KNH1	YDL049C	P50112	KNH1_YEAST	S000002207
KNS1	YLL019C	P32350	KNS1_YEAST	S000003942
KOG1;LAS24	YHR186C	P38873	KOG1_YEAST	S000001229
KRE1	YNL322C	P17260	KRE1_YEAST	S000005266
KRE28	YDR532C	Q04431	KRE28_YEAST	S000002940
KRE29	YER038C	P40026	KRE29_YEAST	S000000840
KRE2;MNT1	YDR483W	P27809	KRE2_YEAST	S000002891
KRE33;NAT10;RRA1	YNL132W	P53914	NAT10_YEAST	S000005076
KRE5	YOR336W	P22023	KRE5_YEAST	S000005863
KRE6;CWH48	YPR159W	P32486	KRE6_YEAST	S000006363
KRE9	YJL174W	P39005	KRE9_YEAST	S000003710
KRI1	YNL308C	P42846	KRI1_YEAST	S000005252
KRR1	YCL059C	P25586	KRR1_YEAST	S000000564
KRS1;GCD5	YDR037W	P15180	SYKC_YEAST	S000002444
KSH1	YNL024C-A	Q8TGJ3	KISH_YEAST	S000028698
KSP1	YHR082C	P38691	KSP1_YEAST	S000001124
KSS1	YGR040W	P14681	KSS1_YEAST	S000003272
KTI11;DPH3	YBL071W-A	Q3E840	DPH3_YEAST	S000007587
KTI12	YKL110C	P34253	KTI12_YEAST	S000001593
KTR1	YOR099W	P27810	KTR1_YEAST	S000005625
KTR2	YKR061W	P33550	KTR2_YEAST	S000001769
KTR3	YBR205W	P38130	KTR3_YEAST	S000000409
KTR4	YBR199W	P38131	KTR4_YEAST	S000000403
KTR5	YNL029C	P53966	KTR5_YEAST	S000004974
KTR6;MNN6	YPL053C	P54070	KTR6_YEAST	S000005974
KTR7	YIL085C	P40504	KTR7_YEAST	S000001347
KXD1	YGL079W	P53158	KXD1_YEAST	S000003047
LAA1	YJL207C	P39526	LAA1_YEAST	S000003743
LAC1;DGT1	YKL008C	P28496	LAC1_YEAST	S000001491
LAG1	YHL003C	P38703	LAG1_YEAST	S000000995
LAG2	YOL025W	Q92325	LAG2_YEAST	S000005385
LAM1;YSP1	YHR155W	P38851	LAM1_YEAST	S000001198
LAM4;LTC3	YHR080C	P38800	LAM4_YEAST	S000001122
LAM5;LTC2	YFL042C	P43560	LAM5_YEAST	S000001852
LAM6;LTC1	YLR072W	Q08001	LAM6_YEAST	S000004062
LAP2	YNL045W	Q10740	LKHA4_YEAST	S000004990
LAP3;BLH1;GAL6;YCP1	YNL239W	Q01532	BLH1_YEAST	S000005183
LAS1	YKR063C	P36146	LAS1_YEAST	S000001771
LAS17	YOR181W	Q12446	LAS17_YEAST	S000005707
LAS21;GPI7	YJL062W	P40367	GPI7_YEAST	S000003598
LAT1;ODP2;PDA2	YNL071W	P12695	ODP2_YEAST	S000005015
LCB1;END8;TSC2	YMR296C	P25045	LCB1_YEAST	S000004911
LCB2;SCS1;TSC1	YDR062W	P40970	LCB2_YEAST	S000002469
LCB3;LBP1;YSR2	YJL134W	P47013	DS1P1_YEAST	S000003670
